version_id,content_id,value
1,1,1
1,2,2
1,3,Sistema de trazabilidad agricola basado en tecnologia blockchain para exportacion
1,4,"El proyecto es viable tecnica y economicamente, ya que existen plataformas blockchain de codigo abierto que pueden ser adaptadas al sector agricola, y hay creciente demanda de trazabilidad en exportacion."
1,5,"El proyecto se alinea con las lineas de investigacion en transformacion digital y sostenibilidad agricola, promoviendo el uso de tecnologias emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingenieria de Sistemas."
1,6,Si hay docentes disponibles
1,7,"Existe una correspondencia clara entre el titulo y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agricola. El titulo refleja adecuadamente el alcance del objetivo general y el lenguaje es tecnico y pertinente."
1,8,Disenar e implementar un sistema de trazabilidad agricola basado en tecnologia blockchain que garantice la autenticidad y el origen de los productos destinados a exportacion.
1,9,"Diseno e implementacion de un sistema de registro y seguimiento de productos agricolas orientado a la exportacion, utilizando blockchain para garantizar transparencia y autenticidad."
2,1,2
2,2,4
2,3,Asistente virtual inteligente para analizar emociones en centros de atencion telefonica
2,4,"La implementacion es viable debido al avance de tecnologias de procesamiento de voz y modelos de aprendizaje automatico, asi como la disponibilidad de bibliotecas especializadas y datos etiquetados."
2,5,"Pertinente para grupos centrados en inteligencia artificial aplicada a la experiencia de usuario y tecnologias de interaccion hombre-maquina, integrando areas clave del programa como aprendizaje automatico y procesamiento de lenguaje."
2,6,Si hay docentes disponibles
2,7,"El titulo y el objetivo estan bien alineados, mostrando coherencia en el enfoque hacia la implementacion de un sistema inteligente para analisis emocional en llamadas, con claridad y precision en el planteamiento."
2,8,"Desarrollar un asistente virtual inteligente capaz de analizar en tiempo real las emociones de los usuarios en llamadas de atencion al cliente, con el fin de mejorar la calidad del servicio."
2,9,"Desarrollo de un asistente virtual que analiza la voz de los clientes en tiempo real para identificar emociones y estados de animo, con el fin de mejorar la calidad del servicio."
3,1,1
3,2,3
3,3,Aplicacion movil para agricultores: monitoreo de cultivos mediante sensores y satelites
3,4,"Es viable gracias a la existencia de APIs satelitales gratuitas (como Copernicus y NASA) y sensores de bajo costo compatibles con dispositivos moviles, lo cual reduce barreras de entrada para agricultores."
3,5,"Tiene pertinencia con lineas de investigacion en IoT y sistemas moviles aplicados al desarrollo rural y agricola, lo que refuerza el enfoque del programa hacia soluciones tecnologicas con impacto social."
3,6,Si hay docentes disponibles
3,7,"El titulo resume de manera efectiva la propuesta planteada en el objetivo, que se basa en el desarrollo de una app para agricultores. Existe una relacion directa entre el lenguaje tecnico y la finalidad del proyecto."
3,8,"Crear una aplicacion movil que permita a los agricultores monitorear el estado de sus cultivos a traves de sensores y datos satelitales, facilitando la toma de decisiones tecnicas."
3,9,"Creacion de una app que integra datos de sensores y satelites para ayudar a los agricultores a monitorear variables clave como humedad, temperatura y estado de los cultivos."
4,1,2
4,2,2
4,3,Modelo predictivo basado en IA para prevenir fallos en maquinaria industrial pesada
4,4,La viabilidad es alta debido al facil acceso a grandes volumenes de datos de maquinaria industrial y a la madurez de frameworks de inteligencia artificial aplicables a mantenimiento predictivo.
4,5,"El proyecto se relaciona con la investigacion en mantenimiento inteligente y analisis predictivo, promoviendo la aplicacion de IA en la industria, eje fundamental del programa de ingenieria y transformacion digital."
4,6,Si hay docentes disponibles
4,7,"El objetivo y el titulo estan bien formulados y guardan correspondencia, ya que ambos abordan la aplicacion de modelos predictivos para anticipar fallos en maquinaria. Se evidencia claridad y consistencia terminologica."
4,8,"Disenar un modelo predictivo utilizando inteligencia artificial que permita anticipar fallos en maquinaria industrial, optimizando los procesos de mantenimiento preventivo."
4,9,Implementacion de un sistema predictivo utilizando machine learning que analiza patrones de uso y fallas anteriores para anticipar problemas en maquinaria industrial critica.
5,1,2
5,2,2
5,3,Uso de deep learning en la optimizacion dinamica de rutas de entrega urbana
5,4,"El proyecto es viable ya que puede integrarse con sistemas GPS y plataformas de analisis de trafico abiertas, y se beneficia del aumento del comercio electronico que requiere logistica eficiente."
5,5,"Se vincula con el estudio de sistemas inteligentes aplicados a problemas reales de logistica urbana, area de interes para el grupo de investigacion en ciencia de datos e ingenieria aplicada."
5,6,Si hay docentes disponibles
5,7,"Se observa una correspondencia clara entre lo que el titulo comunica y lo que el objetivo pretende alcanzar. Ambos destacan el uso de redes neuronales para mejorar rutas urbanas, manteniendo una alta calidad tecnica."
5,8,Desarrollar un sistema de optimizacion dinamica de rutas de entrega urbana empleando redes neuronales y analisis de variables contextuales en tiempo real.
5,9,"Desarrollo de un algoritmo que optimiza en tiempo real las rutas de distribucion en zonas urbanas, utilizando redes neuronales y datos de trafico, clima y entregas."
6,2,2
6,3,Digital twins aplicados a la automatizacion y eficiencia en centros logisticos
6,8,"Implementar un sistema de gemelos digitales para simular y mejorar procesos logisticos, contribuyendo a la automatizacion y eficiencia de operaciones en centros de distribucion."
6,9,"Investigacion sobre el uso de gemelos digitales para replicar procesos logisticos, mejorar la toma de decisiones y reducir errores en centros de distribucion."
7,3,Herramienta de analisis forense digital para investigar incidentes de ciberseguridad
7,8,"Disenar una herramienta digital que permita la recoleccion y analisis de evidencia en incidentes de ciberseguridad, apoyando el trabajo forense de investigadores y profesionales en seguridad informatica."
7,9,"Diseno de una herramienta basada en software libre que permita recolectar, analizar y presentar evidencia digital tras un ciberataque, facilitando procesos forenses."
8,3,Sistema de alerta temprana de desercion escolar mediante inteligencia artificial
8,8,Construir un sistema de alerta temprana basado en inteligencia artificial que identifique estudiantes con riesgo de desercion escolar y proponga estrategias de retencion educativa.
8,9,"Desarrollo de un sistema que utiliza IA para identificar estudiantes en riesgo de abandono escolar, basado en patrones de asistencia, rendimiento y comportamiento."
9,3,Solucion web inteligente para la recoleccion y clasificacion de residuos urbanos
9,8,"Desarrollar una solucion web inteligente para optimizar la gestion y trazabilidad de residuos solidos urbanos mediante tecnologias de registro, clasificacion y seguimiento."
9,9,"Implementacion de una plataforma web que conecta ciudadanos y gestores de residuos para facilitar la clasificacion, recoleccion y trazabilidad de desechos en ciudades."
10,3,Recomendador inteligente de formacion academica usando perfiles y trayectorias previas
10,8,Disenar un sistema de recomendacion academico que sugiera cursos y trayectorias formativas personalizadas a partir del analisis de datos academicos y preferencias individuales.
10,9,"Diseno de un sistema de recomendacion academica que sugiere cursos o carreras personalizadas segun habilidades, intereses y antecedentes educativos del estudiante."
11,1,2
11,2,2
11,3,Blockchain aplicado al control de calidad y origen en cadenas agroalimentarias
11,4,"El proyecto es viable tecnica y economicamente, ya que existen plataformas blockchain de codigo abierto que pueden ser adaptadas al sector agricola, y hay creciente demanda de trazabilidad en exportacion."
11,5,"El proyecto se alinea con las lineas de investigacion en transformacion digital y sostenibilidad agricola, promoviendo el uso de tecnologias emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingenieria de Sistemas."
11,6,Si hay docentes disponibles
11,7,"Existe una correspondencia clara entre el titulo y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agricola. El titulo refleja adecuadamente el alcance del objetivo general y el lenguaje es tecnico y pertinente."
11,8,Disenar e implementar un sistema de trazabilidad agricola basado en tecnologia blockchain que garantice la autenticidad y el origen de los productos destinados a exportacion.
11,9,"Diseno de una solucion blockchain para registrar y verificar el origen de productos agricolas, enfocada en exportadores que requieren altos estandares de trazabilidad. C"
12,1,1
12,2,2
12,3,Analisis de sentimientos en tiempo real durante llamadas mediante inteligencia artificial
12,4,"La implementacion es viable debido al avance de tecnologias de procesamiento de voz y modelos de aprendizaje automatico, asi como la disponibilidad de bibliotecas especializadas y datos etiquetados."
12,5,"Pertinente para grupos centrados en inteligencia artificial aplicada a la experiencia de usuario y tecnologias de interaccion hombre-maquina, integrando areas clave del programa como aprendizaje automatico y procesamiento de lenguaje."
12,6,Si hay docentes disponibles
12,7,"El titulo y el objetivo estan bien alineados, mostrando coherencia en el enfoque hacia la implementacion de un sistema inteligente para analisis emocional en llamadas, con claridad y precision en el planteamiento."
12,8,"Desarrollar un asistente virtual inteligente capaz de analizar en tiempo real las emociones de los usuarios en llamadas de atencion al cliente, con el fin de mejorar la calidad del servicio."
12,9,"Implementacion de un sistema inteligente que interpreta emociones a partir del tono de voz en llamadas de atencion, ayudando a mejorar la experiencia del usuario."
13,1,1
13,2,2
13,3,Plataforma movil para asistencia tecnica y monitoreo remoto de cultivos agricolas
13,4,"Es viable gracias a la existencia de APIs satelitales gratuitas (como Copernicus y NASA) y sensores de bajo costo compatibles con dispositivos moviles, lo cual reduce barreras de entrada para agricultores."
13,5,"Tiene pertinencia con lineas de investigacion en IoT y sistemas moviles aplicados al desarrollo rural y agricola, lo que refuerza el enfoque del programa hacia soluciones tecnologicas con impacto social."
13,6,Si hay docentes disponibles
13,7,"El titulo resume de manera efectiva la propuesta planteada en el objetivo, que se basa en el desarrollo de una app para agricultores. Existe una relacion directa entre el lenguaje tecnico y la finalidad del proyecto."
13,8,"Desarrollo de una aplicacion movil que recopile informacion de sensores agricolas y satelites, permitiendo a pequenos y medianos productores supervisar el estado de sus cultivos y recibir alertas sobre condiciones criticas."
13,9,"Aplicacion movil para el monitoreo en tiempo real de cultivos mediante datos satelitales y sensores de campo, con alertas personalizadas para agricultores."
14,1,2
14,2,2
14,3,Algoritmo predictivo para mantenimiento preventivo en maquinaria industrial
14,4,"El proyecto es viable debido a la amplia disponibilidad de sensores industriales y datos historicos en entornos productivos, lo que permite entrenar modelos de prediccion sin requerir grandes inversiones adicionales. Ademas, el retorno sobre la inversion es alto al reducir tiempos de parada."
14,5,"El proyecto se relaciona con la investigacion en mantenimiento inteligente y analisis predictivo, promoviendo la aplicacion de IA en la industria, eje fundamental del programa de ingenieria y transformacion digital."
14,6,Si hay docentes disponibles
14,7,"El titulo comunica de forma precisa la esencia del objetivo general, centrado en la prediccion de fallos mediante IA. La redaccion mantiene coherencia terminologica, y refleja adecuadamente tanto el enfoque tecnico como la aplicabilidad industrial del proyecto."
14,8,"Disenar un modelo predictivo utilizando inteligencia artificial que permita anticipar fallos en maquinaria industrial, optimizando los procesos de mantenimiento preventivo."
14,9,"Desarrollo de un modelo predictivo de mantenimiento industrial basado en datos historicos de sensores, optimizando tiempos de reparacion y reduciendo costos."
15,1,1
15,2,2
15,3,Optimizacion de rutas de entrega utilizando redes neuronales
15,4,"El proyecto resulta viable gracias a la posibilidad de integrar datos abiertos de movilidad urbana, el uso de frameworks accesibles para deep learning, y la demanda de soluciones logisticas eficientes en ciudades con problemas de trafico."
15,5,"Se vincula con el estudio de sistemas inteligentes aplicados a problemas reales de logistica urbana, area de interes para el grupo de investigacion en ciencia de datos e ingenieria aplicada."
15,6,Si hay docentes disponibles
15,7,"El titulo sintetiza de manera clara la meta principal del proyecto, que es optimizar rutas de entrega con inteligencia artificial. Existe una adecuada relacion semantica entre el titulo y el objetivo, lo que denota claridad conceptual y enfoque aplicado."
15,8,Desarrollar un sistema de optimizacion dinamica de rutas de entrega urbana empleando redes neuronales y analisis de variables contextuales en tiempo real.
15,9,"Optimizacion de rutas de entrega utilizando aprendizaje profundo y analisis en tiempo real de variables como clima, trafico y disponibilidad de vehiculos."
16,3,Implementacion de gemelos digitales en procesos logisticos
16,8,"Implementar un sistema de gemelos digitales para simular y mejorar procesos logisticos, contribuyendo a la automatizacion y eficiencia de operaciones en centros de distribucion."
16,9,"Sistema de simulacion con gemelos digitales para optimizar procesos logisticos, identificar cuellos de botella y proponer mejoras en almacenes y centros de distribucion."
17,3,Analisis forense de ciberataques con herramientas de codigo abierto
17,8,"Disenar una herramienta digital que permita la recoleccion y analisis de evidencia en incidentes de ciberseguridad, apoyando el trabajo forense de investigadores y profesionales en seguridad informatica."
17,9,"Creacion de una herramienta de analisis forense para investigar ciberataques, con enfoque en automatizacion de recoleccion de evidencias digitales. C"
18,3,Modelo de prediccion de abandono escolar basado en machine learning
18,8,Construir un sistema de alerta temprana basado en inteligencia artificial que identifique estudiantes con riesgo de desercion escolar y proponga estrategias de retencion educativa.
18,9,"Diseno de una plataforma que predice riesgos de desercion estudiantil con base en datos academicos, socioeconomicos y patrones de comportamiento. C"
19,3,Plataforma web para la gestion de residuos solidos urbanos
19,8,"Desarrollar una solucion web inteligente para optimizar la gestion y trazabilidad de residuos solidos urbanos mediante tecnologias de registro, clasificacion y seguimiento."
19,9,"Sistema web que facilita la gestion inteligente de residuos urbanos mediante registro, clasificacion y trazabilidad de los desechos recolectados. C"
20,3,Sistema de recomendacion de cursos personalizados con inteligencia artificial
20,8,Disenar un sistema de recomendacion academico que sugiera cursos y trayectorias formativas personalizadas a partir del analisis de datos academicos y preferencias individuales.
20,9,Motor de recomendacion educativa que analiza perfiles academicos y preferencias del usuario para sugerir rutas de formacion personalizadas.
21,1,2
21,2,2
21,3,Trazabilidad de productos agricolas mediante blockchain
21,4,"El proyecto es viable tecnica y economicamente, ya que existen plataformas blockchain de codigo abierto que pueden ser adaptadas al sector agricola, y hay creciente demanda de trazabilidad en exportacion."
21,5,"El proyecto se alinea con las lineas de investigacion en transformacion digital y sostenibilidad agricola, promoviendo el uso de tecnologias emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingenieria de Sistemas."
21,6,Si hay docentes disponibles
21,7,"Existe una correspondencia clara entre el titulo y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agricola. El titulo refleja adecuadamente el alcance del objetivo general y el lenguaje es tecnico y pertinente."
21,8,Disenar e implementar un sistema de trazabilidad agricola basado en tecnologia blockchain que garantice la autenticidad y el origen de los productos destinados a exportacion.
21,9,"Diseno de una solucion blockchain para registrar y verificar el origen de productos agricolas, enfocada en exportadores que requieren altos estandares de trazabilidad."
22,1,2
22,2,2
22,3,Sistema inteligente para deteccion de emociones en llamadas de servicio al cliente
22,4,"El proyecto es viable debido a la amplia disponibilidad de sensores industriales y datos historicos en entornos productivos, lo que permite entrenar modelos de prediccion sin requerir grandes inversiones adicionales. Ademas, el retorno sobre la inversion es alto al reducir tiempos de parada."
22,5,"Pertinente para grupos centrados en inteligencia artificial aplicada a la experiencia de usuario y tecnologias de interaccion hombre-maquina, integrando areas clave del programa como aprendizaje automatico y procesamiento de lenguaje."
22,6,Si hay docentes disponibles
22,7,"El titulo y el objetivo estan bien alineados, mostrando coherencia en el enfoque hacia la implementacion de un sistema inteligente para analisis emocional en llamadas, con claridad y precision en el planteamiento."
22,8,"Desarrollar un asistente virtual inteligente capaz de analizar en tiempo real las emociones de los usuarios en llamadas de atencion al cliente, con el fin de mejorar la calidad del servicio."
22,9,"Implementacion de un sistema inteligente que interpreta emociones a partir del tono de voz en llamadas de atencion, ayudando a mejorar la experiencia del usuario."
23,1,2
23,2,2
23,3,Desarrollo de una aplicacion movil para monitoreo de cultivos en zonas rurales
23,4,"El proyecto resulta viable gracias a la posibilidad de integrar datos abiertos de movilidad urbana, el uso de frameworks accesibles para deep learning, y la demanda de soluciones logisticas eficientes en ciudades con problemas de trafico."
23,5,"Tiene pertinencia con lineas de investigacion en IoT y sistemas moviles aplicados al desarrollo rural y agricola, lo que refuerza el enfoque del programa hacia soluciones tecnologicas con impacto social."
23,6,Si hay docentes disponibles
23,7,"El titulo resume de manera efectiva la propuesta planteada en el objetivo, que se basa en el desarrollo de una app para agricultores. Existe una relacion directa entre el lenguaje tecnico y la finalidad del proyecto."
23,8,"Crear una aplicacion movil que permita a los agricultores monitorear el estado de sus cultivos a traves de sensores y datos satelitales, facilitando la toma de decisiones tecnicas."
23,9,"Aplicacion movil para el monitoreo en tiempo real de cultivos mediante datos satelitales y sensores de campo, con alertas personalizadas para agricultores."
24,3,Sistema Inteligente de Gestion de Ideas ABI
24,4,"El proyecto es tecnica y economicamente viable, ya que puede desarrollarse utilizando tecnologias web de codigo abierto y recursos institucionales existentes, sin requerir infraestructura adicional significativa."
24,5,"Se alinea con las lineas de investigacion en arquitectura empresarial, transformacion digital y gestion de la innovacion, fortaleciendo los procesos institucionales mediante soluciones tecnologicas."
24,6,Si hay docentes disponibles con experiencia en desarrollo de software y gestion de proyectos tecnologicos.
24,7,"Existe coherencia entre el titulo y el objetivo planteado, ya que ambos se enfocan en el diseno e implementacion de un sistema inteligente para la gestion estructurada de ideas de proyecto."
24,8,"Desarrollar un sistema inteligente para la gestion, evaluacion y seguimiento de ideas de proyecto dentro del banco institucional ABI."
24,9,"Diseno e implementacion de una plataforma digital que permita registrar, evaluar y gestionar ideas academicas, facilitando la trazabilidad del proceso investigativo y la toma de decisiones."
25,3,Plataforma Web para Seguimiento de Semilleros
25,4,El proyecto es viable debido a la disponibilidad de tecnologias web modernas y a la necesidad institucional de centralizar la informacion de los semilleros.
25,5,"Se articula con las lineas de desarrollo de software e innovacion educativa, apoyando procesos academicos mediante herramientas digitales."
25,6,Si hay docentes disponibles con experiencia en gestion de semilleros y desarrollo web.
25,7,"El titulo refleja claramente el proposito del proyecto, centrado en el seguimiento sistematico de los semilleros de investigacion."
25,8,Disenar una plataforma web que permita el seguimiento academico y administrativo de los semilleros de investigacion.
25,9,"Desarrollo de una solucion web para centralizar informacion de semilleros, registrar avances y facilitar la supervision institucional."
26,3,Modelo Predictivo de Desercion Estudiantil
26,4,Es viable gracias a la disponibilidad de datos academicos historicos y herramientas de analitica que permiten el entrenamiento de modelos predictivos.
26,5,Se alinea con la linea de analitica de datos y apoyo a la toma de decisiones institucionales basadas en evidencia.
26,6,Si hay docentes disponibles con experiencia en estadistica y ciencia de datos.
26,7,"Existe coherencia conceptual entre el titulo y el objetivo, ambos centrados en la prediccion de la desercion mediante analisis de datos."
26,8,Construir un modelo predictivo que permita identificar estudiantes con riesgo de desercion academica mediante tecnicas de analitica de datos.
26,9,Desarrollo de un modelo que analice patrones academicos e historicos para detectar factores asociados al abandono estudiantil.
27,3,Modelo Predictivo de Desercion Estudiantil
27,4,La version ajustada es viable al incorporar nuevas variables y tecnicas de validacion que mejoran la precision del modelo.
27,5,Continua alineado con la linea de analitica de datos aplicada a la gestion academica institucional.
27,6,Se cuenta con acompanamiento docente especializado en modelamiento estadistico avanzado.
27,7,"El titulo mantiene coherencia con el objetivo actualizado, que ahora contempla optimizacion y validacion del modelo."
27,8,Optimizar el modelo predictivo incorporando nuevas variables academicas y socioeconomicas que mejoren su capacidad de prediccion.
27,9,"Version mejorada del modelo que incluye validacion estadistica, pruebas comparativas y ampliacion de fuentes de datos para incrementar su confiabilidad."
28,3,Sistema Automatizado de Evaluacion Docente
28,4,El proyecto es viable al apoyarse en sistemas de encuestas digitales y bases de datos institucionales ya existentes.
28,5,Se articula con las lineas de innovacion educativa y mejora continua de procesos academicos.
28,6,Si hay docentes con experiencia en evaluacion academica y desarrollo de sistemas de informacion.
28,7,"Existe correspondencia clara entre el titulo y el objetivo, enfocados en la automatizacion del proceso de evaluacion docente."
28,8,Implementar un sistema automatizado que permita evaluar el desempeno docente mediante indicadores cuantitativos y cualitativos.
28,9,Desarrollo de una plataforma que recopile y procese informacion evaluativa para generar reportes automaticos de desempeno docente.
29,3,Dashboard Analitico de Indicadores Academicos
29,4,Es viable mediante el uso de herramientas de visualizacion de datos y conexion con bases de datos institucionales.
29,5,Se alinea con la linea de analitica de datos y gestion estrategica institucional.
29,6,Si hay docentes disponibles con experiencia en analisis y visualizacion de datos.
29,7,"El titulo representa adecuadamente el alcance del objetivo, centrado en el diseno de un panel analitico institucional."
29,8,Disenar un dashboard interactivo que visualice indicadores academicos clave para apoyar la toma de decisiones estrategicas.
29,9,Implementacion de un panel de control con herramientas de visualizacion que permitan monitorear el rendimiento academico institucional.
30,3,Aplicacion Movil para Gestion de Practicas Profesionales
30,4,El proyecto es viable gracias al uso de frameworks moviles multiplataforma y recursos tecnologicos institucionales.
30,5,Se articula con la linea de desarrollo de software e innovacion tecnologica aplicada a procesos academicos.
30,6,Si hay docentes con experiencia en desarrollo movil y gestion academica.
30,7,"Existe coherencia entre el titulo y el objetivo, ambos enfocados en optimizar la gestion de practicas mediante una aplicacion movil."
30,8,"Desarrollar una aplicacion movil que facilite la gestion, seguimiento y evaluacion de practicas profesionales."
30,9,"Diseno de una app que conecte estudiantes, empresas y coordinadores para optimizar el proceso de practicas profesionales."
31,1,1
31,2,2
